fold,dataset,accuracy,f1_macro,precision_macro,recall_macro
1,FEVER,0.7370849129858859,0.6481897780457299,0.6595098804890726,0.6414145627134042
2,FEVER,0.7348264582954752,0.643413989441895,0.6582320075259632,0.635750037435201
3,FEVER,0.7339979969043067,0.6434621809769336,0.655901393946573,0.6364739692535111
4,FEVER,0.7387042356266813,0.6478182057736448,0.6598236782408473,0.6407579279057365
5,FEVER,0.7338453149141143,0.642997848098354,0.6529939080324592,0.6368275546388191
Average,FEVER,0.7356917837452926,0.6451764004673114,0.657292173646983,0.6382448103893343
1,FakeNewsNet,0.5185185185185185,0.4531763891293059,0.5265837104072397,0.5143292682926829
2,FakeNewsNet,0.4507042253521127,0.37984322508398655,0.6121212121212122,0.5303776683087028
3,FakeNewsNet,0.5058823529411764,0.39036885245901637,0.4472402597402597,0.4819444444444444
4,FakeNewsNet,0.48514851485148514,0.3835680751173709,0.4318181818181818,0.47350863422291994
5,FakeNewsNet,0.5476190476190477,0.4149560117302053,0.64375,0.5261363636363636
Average,FakeNewsNet,0.5015745318564682,0.404382510703977,0.5323026728173786,0.5052592757810228
1,Global,0.7903792343870929,0.767875137278275,0.7709849013204304,0.7652376876924795
2,Global,0.7874259518352038,0.7636929895131315,0.7680459537055978,0.7602087360227375
3,Global,0.7840621558062691,0.7599284579310943,0.7642587602124646,0.756473976519634
4,Global,0.7898371684577145,0.7671537480848446,0.7704190320197793,0.7644052856224792
5,Global,0.7856696335546096,0.7629157093230241,0.7656162451349504,0.7605908198675535
Average,Global,0.787474828808178,0.764313208426074,0.7678649784786445,0.7613833011449767
1,ISOT,0.9869598850701735,0.986938866995744,0.9869475639102733,0.9869302669664927
2,ISOT,0.984448422465876,0.9844254862358053,0.9845278514823002,0.9843362155131956
3,ISOT,0.9820452771272443,0.9820175669413216,0.9820566019797907,0.9819805194805196
4,ISOT,0.9855731883253801,0.9855298751386448,0.9856026016103955,0.9854606754673152
5,ISOT,0.9841038844733012,0.9840418406546679,0.9840283231961007,0.9840554579115358
Average,ISOT,0.984626131492395,0.9845907271932367,0.9846325884357722,0.9845526270678118
1,LIAR,0.5608712563204978,0.5592900441444963,0.5766265060240965,0.5735575069608053
2,LIAR,0.562208398133748,0.5610522359103696,0.5815429088455404,0.5784718122786305
3,LIAR,0.530873786407767,0.5308142769055523,0.5394680861528776,0.5392413961733602
4,LIAR,0.5498430141287284,0.5487915642236005,0.5649887496645543,0.5629073218492795
5,LIAR,0.5474708171206226,0.546825247733641,0.5613762608380934,0.5599023476854877
Average,LIAR,0.5502534544222728,0.549354673783532,0.5648005023050324,0.5628160769895126
